"MinDate","Units","NumObservations","MinValue","ScalingFactors","MaxDate","observationPeriods","StatVar","MaxValue","NumPlaces","NumObservationsDates","MeasurementMethods"
"2008","[Ton]","400","0.0","[]","2017","[P1Y]","Annual_Amount_Emissions_SCC_6_MACTSourceCategories","5348.489","183","4","[dcAggregate/EPA_NationalEmissionInventory]"
"2008","[Ton]","1147","0.0","[]","2020","[P1Y]","Annual_Amount_Emissions_Nickel_SCC_4_PetroleumAndSolventEvaporation","3.8098361850379","410","5","[dcAggregate/EPA_NationalEmissionInventory]"
"2008","[Ton]","1","0.0","[]","2008","[P1Y]","Annual_Amount_Emissions_Nickel_SCC_25_StorageAndTransport","NaN","1","1","[dcAggregate/EPA_NationalEmissionInventory]"
"2008","[Ton]","12","0.027280000000000002","[]","2017","[P1Y]","Annual_Amount_Emissions_Chlorine_SCC_6_MACTSourceCategories","15.76","6","4","[dcAggregate/EPA_NationalEmissionInventory]"
"2008","[Ton]","16119","0.0","[]","2020","[P1Y]","Annual_Amount_Emissions_SCC_26_WasteDisposalTreatmentAndRecovery","131847.87695432777","3231","5","[dcAggregate/EPA_NationalEmissionInventory]"
"2008","[Ton]","385","0.0","[]","2020","[P1Y]","Annual_Amount_Emissions_Chlorine_SCC_5_WasteDisposal","142.42","158","5","[dcAggregate/EPA_NationalEmissionInventory]"
"2008","[Ton]","480","0.0","[]","2020","[P1Y]","Annual_Amount_Emissions_Arsenic_SCC_4_PetroleumAndSolventEvaporation","1.215679115015","194","5","[dcAggregate/EPA_NationalEmissionInventory]"
"2008","[Ton]","11913","0.0","[]","2020","[P1Y]","Annual_Amount_Emissions_Chloroform_SCC_21_StationarySourceFuelCombustion","0.20841388","3228","5","[dcAggregate/EPA_NationalEmissionInventory]"
"2008","[Ton]","6151","0.0","[]","2020","[P1Y]","Annual_Amount_Emissions_Chromium_6_SCC_3_IndustrialProcesses","6.13882319628","1694","5","[dcAggregate/EPA_NationalEmissionInventory]"
"2008","[Ton]","8694","0.0","[]","2020","[P1Y]","Annual_Amount_Emissions_Formaldehyde_SCC_1_ExternalCombustion","159.1838804477936","2066","5","[dcAggregate/EPA_NationalEmissionInventory]"
"2008","[Ton]","1198","0.0","[]","2020","[P1Y]","Annual_Amount_Emissions_Ammonia_SCC_5_WasteDisposal","1767.08037822","342","5","[dcAggregate/EPA_NationalEmissionInventory]"
"2008","[Ton]","6289","0.0","[]","2020","[P1Y]","Annual_Amount_Emissions_Selenium_SCC_1_ExternalCombustion","15.328600000000002","1592","5","[dcAggregate/EPA_NationalEmissionInventory]"
"2008","[Ton]","15982","0.0","[]","2020","[P1Y]","Annual_Amount_Emissions_Benzene_SCC_26_WasteDisposalTreatmentAndRecovery","112.8068","3229","5","[dcAggregate/EPA_NationalEmissionInventory]"
"2008","[Ton]","4759","0.0","[]","2020","[P1Y]","Annual_Amount_Emissions_Manganese_SCC_23_IndustrialProcesses","2.00257523","2436","5","[dcAggregate/EPA_NationalEmissionInventory]"
"2008","[Ton]","15715","2.964956","[]","2020","[P1Y]","Annual_Amount_Emissions_VolatileOrganicCompound_SCC_27_NaturalSources","784562.0","3227","5","[dcAggregate/EPA_NationalEmissionInventory]"
"2011","[Ton]","99","0.228465513","[]","2011","[P1Y]","Annual_Amount_Emissions_Phosphorus_SCC_24_SolventUtilization","0.71872927","99","1","[dcAggregate/EPA_NationalEmissionInventory]"
"2017","[Ton]","1","0.0","[]","2017","[P1Y]","Annual_Amount_Emissions_Phosphorus_SCC_6_MACTSourceCategories","NaN","1","1","[dcAggregate/EPA_NationalEmissionInventory]"
"2008","[Ton]","5798","0.0","[]","2020","[P1Y]","Annual_Amount_Emissions_Chloroform_SCC_23_IndustrialProcesses","2.6960929809999996","2412","5","[dcAggregate/EPA_NationalEmissionInventory]"
"2008","[Ton]","10627","0.0","[]","2020","[P1Y]","Annual_Amount_Emissions_CarbonMonoxide_SCC_2_InternalCombustionEngines","15017.691","2389","5","[dcAggregate/EPA_NationalEmissionInventory]"
"2008","[Ton]","7562","0.0","[]","2020","[P1Y]","Annual_Amount_Emissions_Lead_SCC_3_IndustrialProcesses","42.7538","1976","5","[dcAggregate/EPA_NationalEmissionInventory]"
"2008","[Ton]","4214","0.0","[]","2020","[P1Y]","Annual_Amount_Emissions_Methanol_SCC_2_InternalCombustionEngines","294.487919983","1144","5","[dcAggregate/EPA_NationalEmissionInventory]"
"2008","[Ton]","252","0.0","[]","2017","[P1Y]","Annual_Amount_Emissions_Sulfane_SCC_26_WasteDisposalTreatmentAndRecovery","18.4241","111","4","[dcAggregate/EPA_NationalEmissionInventory]"
"2008","[Ton]","16124","9.817834758000042E-8","[]","2020","[P1Y]","Annual_Amount_Emissions_Manganese_SCC_22_MobileSources","19.850525384244516","3231","5","[dcAggregate/EPA_NationalEmissionInventory]"
"2008","[Ton]","1400","0.0","[]","2020","[P1Y]","Annual_Amount_Emissions_Chromium_6_SCC_23_IndustrialProcesses","3.9792899957000003","825","5","[dcAggregate/EPA_NationalEmissionInventory]"
"2008","[Ton]","9","1.96E-9","[]","2014","[P1Y]","Annual_Amount_Emissions_Nickel_SCC_6_MACTSourceCategories","8.620678E-4","4","3","[dcAggregate/EPA_NationalEmissionInventory]"
"2008","[Ton]","16118","4.7961814600000003E-4","[]","2020","[P1Y]","Annual_Amount_Emissions_Benzene_SCC_25_StorageAndTransport","273.126520802","3231","5","[dcAggregate/EPA_NationalEmissionInventory]"
"2008","[Ton]","232","0.0","[]","2020","[P1Y]","Annual_Amount_Emissions_PM2.5_SCC_25_StorageAndTransport","41.26","224","5","[dcAggregate/EPA_NationalEmissionInventory]"
"2008","[Ton]","244","0.0","[]","2017","[P1Y]","Annual_Amount_Emissions_Ammonia_SCC_25_StorageAndTransport","5292.72","219","4","[dcAggregate/EPA_NationalEmissionInventory]"
"2008","[Ton]","3185","0.0","[]","2020","[P1Y]","Annual_Amount_Emissions_Chloroform_SCC_1_ExternalCombustion","7.602721806","892","5","[dcAggregate/EPA_NationalEmissionInventory]"
"2008","[Ton]","16124","5.975217070000015E-9","[]","2020","[P1Y]","Annual_Amount_Emissions_Mercury_SCC_22_MobileSources","0.23824371673072461","3231","5","[dcAggregate/EPA_NationalEmissionInventory]"
