InChIKey|dcid|IUPACName|Name|CommonName|TypeOf|Symbol|InChI|Type|AtomicNumber|CID|SameAs|Input
WEVYAHXRMPXWCK-UHFFFAOYSA-N|inChIKey/WEVYAHXRMPXWCK-UHFFFAOYSA-N|acetonitrile|ACETONITRILE|ACETONITRILE|dcs:ChemicalCompound|"CH3CN|C2H3N"|InChI=1S/C2H3N/c1-2-3/h1H3|||6342||ACETONITRILE
HGINCPLSRVDWNT-UHFFFAOYSA-N|inChIKey/HGINCPLSRVDWNT-UHFFFAOYSA-N|prop-2-enal|"prop-2-enal|ACROLEIN"|PROP-2-ENAL|dcs:ChemicalCompound|"CH2CHCHO|CH2=CHCHO|C3H4O"|InChI=1S/C3H4O/c1-2-3-4/h2-3H,1H2|||7847||ACROLEIN
HRPVXLWXLXDGHG-UHFFFAOYSA-N|inChIKey/HRPVXLWXLXDGHG-UHFFFAOYSA-N|prop-2-enamide|"prop-2-enamide|ACRYLAMIDE"|PROP-2-ENAMIDE|dcs:ChemicalCompound|C3H5NO|InChI=1S/C3H5NO/c1-2-3(4)5/h2H,1H2,(H2,4,5)|||6579||ACRYLAMIDE
QQINRWTZWGJFDB-IGMARMGPSA-N|inChIKey/QQINRWTZWGJFDB-IGMARMGPSA-N|actinium-227|ACTINIUM|ACTINIUM|dcs:ChemicalElement|Ac|InChI=1S/Ac/i1+0||89|105152||ACTINIUM-227
QQINRWTZWGJFDB-OUBTZVSYSA-N|inChIKey/QQINRWTZWGJFDB-OUBTZVSYSA-N|actinium-228|ACTINIUM|ACTINIUM|dcs:ChemicalElement|Ac|InChI=1S/Ac/i1+1||89|105063||ACTINIUM-228
XCSGPAVHZFQHGE-UHFFFAOYSA-N|inChIKey/XCSGPAVHZFQHGE-UHFFFAOYSA-N|2-chloro-N-(2,6-diethylphenyl)-N-(methoxymethyl)acetamide|"2-chloro-N-(2,6-diethylphenyl)-N-(methoxymethyl)acetamide|ALACHLOR"|2-CHLORO-N-(2,6-DIETHYLPHENYL)-N-(METHOXYMETHYL)ACETAMIDE|dcs:ChemicalCompound|C14H20ClNO2|InChI=1S/C14H20ClNO2/c1-4-11-7-6-8-12(5-2)14(11)16(10-18-3)13(17)9-15/h6-8H,4-5,9-10H2,1-3H3|||2078||ALACHLOR
QBYJBZPUGVGKQQ-SJJAEHHWSA-N|inChIKey/QBYJBZPUGVGKQQ-SJJAEHHWSA-N|\"(1S,2S,3S,6R,7R,8R)-1,8,9,10,11,11-hexachlorotetracyclo[6.2.1.13,6.02,7]dodeca-4,9-diene\"|"\"(1S,2S,3S,6R,7R,8R)-1,8,9,10,11,11-hexachlorotetracyclo[6.2.1.13,6.02,7]dodeca-4,9-diene\"|\"ALDRIN\""|\"(1S,2S,3S,6R,7R,8R)-1,8,9,10,11,11-HEXACHLOROTETRACYCLO[6.2.1.13,6.02,7]DODECA-4,9-DIENE\"|dcs:ChemicalCompound|C12H8Cl6|InChI=1S/C12H8Cl6/c13-8-9(14)11(16)7-5-2-1-4(3-5)6(7)10(8,15)12(11,17)18/h1-2,4-7H,3H2/t4-,5+,6+,7-,10+,11-|||12310947||ALDRIN
BIWJNBZANLAXMG-KMMBHOGFSA-N|inChIKey/BIWJNBZANLAXMG-KMMBHOGFSA-N|\"(1R,2S,3R,4S,6S,7S)-1,3,4,7,8,9,10,10-octachlorotricyclo[5.2.1.02,6]dec-8-ene\"|"\"(1R,2S,3R,4S,6S,7S)-1,3,4,7,8,9,10,10-octachlorotricyclo[5.2.1.02,6]dec-8-ene\"|\"ALPHACHLORDANE\""|\"(1R,2S,3R,4S,6S,7S)-1,3,4,7,8,9,10,10-OCTACHLOROTRICYCLO[5.2.1.02,6]DEC-8-ENE\"|dcs:ChemicalCompound|C10H6Cl8|InChI=1S/C10H6Cl8/c11-3-1-2-4(5(3)12)9(16)7(14)6(13)8(2,15)10(9,17)18/h2-5H,1H2/t2-,3-,4-,5-,8-,9+/m0/s1|||1550472||ALPHA-CHLORDANE
JLYXXMFPNIAWKQ-UHFFFAOYSA-N|inChIKey/JLYXXMFPNIAWKQ-UHFFFAOYSA-N|1,2,3,4,5,6-hexachlorocyclohexane|"1,2,3,4,5,6-hexachlorocyclohexane|ALPHAHEXACHLOROCYCLOHEXANE"|1,2,3,4,5,6-HEXACHLOROCYCLOHEXANE|dcs:ChemicalCompound|C6H6Cl6|InChI=1S/C6H6Cl6/c7-1-2(8)4(10)6(12)5(11)3(1)9/h1-6H|||727||ALPHA-HEXACHLOROCYCLOHEXANE
PNEYBMLMFCGWSK-UHFFFAOYSA-N|inChIKey/PNEYBMLMFCGWSK-UHFFFAOYSA-N|dialuminum;oxygen(2-)|"dialuminum;oxygen(2-)|ALUMINUMOXIDE"|DIALUMINUM;OXYGEN(2-)|dcs:ChemicalCompound|Al2O3|InChI=1S/2Al.3O/q2*+3;3*-2|||9989226||ALUMINUM OXIDE
LXQXZNRPTYVCNG-YPZZEJLDSA-N|inChIKey/LXQXZNRPTYVCNG-YPZZEJLDSA-N|americium-241|Americium|AMERICIUM|dcs:ChemicalElement|Am|InChI=1S/Am/i1-2||95|104726||Americium-241
QGZKDVFQNNGYKY-UHFFFAOYSA-N|inChIKey/QGZKDVFQNNGYKY-UHFFFAOYSA-N|azane|"azane|AMMONIA"|AZANE|dcs:ChemicalCompound|"NH3|H3N"|InChI=1S/H3N/h1H3|||222||AMMONIA
VHUUQVKOLVNVRT-UHFFFAOYSA-N|inChIKey/VHUUQVKOLVNVRT-UHFFFAOYSA-N|azanium;hydroxide|"azanium;hydroxide|AMMONIUMHYDROXIDE"|AZANIUM;HYDROXIDE|dcs:ChemicalCompound|"NH4OH|H5NO"|InChI=1S/H3N.H2O/h1H3;1H2|||14923||AMMONIUM HYDROXIDE
DVARTQFDIMZBAA-UHFFFAOYSA-O|inChIKey/DVARTQFDIMZBAA-UHFFFAOYSA-O|azanium;nitrate|"azanium;nitrate|AMMONIUMNITRATE"|AZANIUM;NITRATE|dcs:ChemicalCompound|"NH4NO3|H4N2O3"|InChI=1S/NO3.H3N/c2-1(3)4;/h;1H3/q-1;/p+1|||22985||AMMONIUM NITRATE
PAYRUJLWNCNPSJ-UHFFFAOYSA-N|inChIKey/PAYRUJLWNCNPSJ-UHFFFAOYSA-N|aniline|ANILINE|ANILINE|dcs:ChemicalCompound|C6H7N|InChI=1S/C6H7N/c7-6-4-2-1-3-5-6/h1-5H,7H2|||6115||ANILINE
YFIJJNAKSZUOLT-UHFFFAOYSA-N|inChIKey/YFIJJNAKSZUOLT-UHFFFAOYSA-N|\"hexacyclo[11.7.1.14,20.02,11.03,8.017,21]docosa-1,3(8),4,6,9,11,13,15,17(21),18,20(22)-undecaene\"|"\"hexacyclo[11.7.1.14,20.02,11.03,8.017,21]docosa-1,3(8),4,6,9,11,13,15,17(21),18,20(22)-undecaene\"|\"ANTHANTHRENE\""|\"HEXACYCLO[11.7.1.14,20.02,11.03,8.017,21]DOCOSA-1,3(8),4,6,9,11,13,15,17(21),18,20(22)-UNDECAENE\"|dcs:ChemicalCompound|C22H12|InChI=1S/C22H12/c1-3-13-7-9-18-12-16-6-2-4-14-8-10-17-11-15(5-1)19(13)21(18)22(17)20(14)16/h1-12H|||9118||ANTHANTHRENE
MWPLVEDNUUSJAV-UHFFFAOYSA-N|inChIKey/MWPLVEDNUUSJAV-UHFFFAOYSA-N|anthracene|ANTHRACENE|ANTHRACENE|dcs:ChemicalCompound|C14H10|InChI=1S/C14H10/c1-2-6-12-10-14-8-4-3-7-13(14)9-11(12)5-1/h1-10H|||8418||ANTHRACENE
RIBGNAJQTOXRDK-UHFFFAOYSA-N|inChIKey/RIBGNAJQTOXRDK-UHFFFAOYSA-N|1,3-dichloro-5-(3-chlorophenyl)benzene|"1,3-dichloro-5-(3-chlorophenyl)benzene|AROCLOR"|1,3-DICHLORO-5-(3-CHLOROPHENYL)BENZENE|dcs:ChemicalCompound|C12H7Cl3|InChI=1S/C12H7Cl3/c13-10-3-1-2-8(4-10)9-5-11(14)7-12(15)6-9/h1-7H|||38037|dcid:bio/CHEMBL3183220|AROCLOR 1016
UTMWFJSRHLYRPY-UHFFFAOYSA-N|inChIKey/UTMWFJSRHLYRPY-UHFFFAOYSA-N|1,3-dichloro-5-(3,5-dichlorophenyl)benzene|"1,3-dichloro-5-(3,5-dichlorophenyl)benzene|AROCLOR"|1,3-DICHLORO-5-(3,5-DICHLOROPHENYL)BENZENE|dcs:ChemicalCompound|C12H6Cl4|InChI=1S/C12H6Cl4/c13-9-1-7(2-10(14)5-9)8-3-11(15)6-12(16)4-8/h1-6H|||36400||AROCLOR 1248
AUGNBQPSMWGAJE-UHFFFAOYSA-N|inChIKey/AUGNBQPSMWGAJE-UHFFFAOYSA-N|1,2,3-trichloro-4-(2,3-dichlorophenyl)benzene|"1,2,3-trichloro-4-(2,3-dichlorophenyl)benzene|AROCLOR"|1,2,3-TRICHLORO-4-(2,3-DICHLOROPHENYL)BENZENE|dcs:ChemicalCompound|C12H5Cl5|InChI=1S/C12H5Cl5/c13-8-3-1-2-6(10(8)15)7-4-5-9(14)12(17)11(7)16/h1-5H|||40470||AROCLOR 1254
BTAGRXWGMYTPBY-UHFFFAOYSA-N|inChIKey/BTAGRXWGMYTPBY-UHFFFAOYSA-N|1,2,3-trichloro-4-(2,3,4-trichlorophenyl)benzene|"1,2,3-trichloro-4-(2,3,4-trichlorophenyl)benzene|AROCLOR"|1,2,3-TRICHLORO-4-(2,3,4-TRICHLOROPHENYL)BENZENE|dcs:ChemicalCompound|C12H4Cl6|InChI=1S/C12H4Cl6/c13-7-3-1-5(9(15)11(7)17)6-2-4-8(14)12(18)10(6)16/h1-4H|||38018|dcid:bio/CHEMBL3189099|AROCLOR 1260
MXWJVTOOROXGIU-UHFFFAOYSA-N|inChIKey/MXWJVTOOROXGIU-UHFFFAOYSA-N|6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine|"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine|ATRAZINE"|6-CHLORO-4-N-ETHYL-2-N-PROPAN-2-YL-1,3,5-TRIAZINE-2,4-DIAMINE|dcs:ChemicalCompound|C8H14ClN5|InChI=1S/C8H14ClN5/c1-4-10-7-12-6(9)13-8(14-7)11-5(2)3/h5H,4H2,1-3H3,(H2,10,11,12,13,14)|||2256||ATRAZINE
JBKVHLHDHHXQEQ-UHFFFAOYSA-N|inChIKey/JBKVHLHDHHXQEQ-UHFFFAOYSA-N|azepan-2-one|"azepan-2-one|AZEPANONE"|AZEPAN-2-ONE|dcs:ChemicalCompound|C6H11NO|InChI=1S/C6H11NO/c8-6-4-2-1-3-5-7-6/h1-5H2,(H,7,8)|||7768|dcid:bio/CHEMBL276218|AZEPAN-2-ONE
DMLAVOWQYNRWNQ-UHFFFAOYSA-N|inChIKey/DMLAVOWQYNRWNQ-UHFFFAOYSA-N|diphenyldiazene|"diphenyldiazene|AZOBENZENE"|DIPHENYLDIAZENE|dcs:ChemicalCompound|C12H10N2|InChI=1S/C12H10N2/c1-3-7-11(8-4-1)13-14-12-9-5-2-6-10-12/h1-10H|||2272|dcid:bio/CHEMBL3184266|AZOBENZENE
CUFNKYGDVFVPHO-UHFFFAOYSA-N|inChIKey/CUFNKYGDVFVPHO-UHFFFAOYSA-N|azulene|AZULENE|AZULENE|dcs:ChemicalCompound|C10H8|InChI=1S/C10H8/c1-2-5-9-7-4-8-10(9)6-3-1/h1-8H|||9231||AZULENE
WDIHJSXYQDMJHN-UHFFFAOYSA-L|inChIKey/WDIHJSXYQDMJHN-UHFFFAOYSA-L|barium(2+);dichloride|"barium(2+);dichloride|BARIUMCHLORIDE"|BARIUM(2+);DICHLORIDE|dcs:ChemicalCompound|BaCl2|InChI=1S/Ba.2ClH/h;2*1H/q+2;;/p-2|||25204|dcid:bio/CHEMBL3184191|BARIUM CHLORIDE
HUMNYLRZRPPJDN-UHFFFAOYSA-N|inChIKey/HUMNYLRZRPPJDN-UHFFFAOYSA-N|benzaldehyde|BENZALDEHYDE|BENZALDEHYDE|dcs:ChemicalCompound|C7H6O|InChI=1S/C7H6O/c8-6-7-4-2-1-3-5-7/h1-6H|||240||BENZALDEHYDE
UHOVQNZJYSORNB-UHFFFAOYSA-N|inChIKey/UHOVQNZJYSORNB-UHFFFAOYSA-N|benzene|BENZENE|BENZENE|dcs:ChemicalCompound|C6H6|InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H|||241|dcid:bio/CHEMBL277500|BENZENE
HFACYLZERDEVSX-UHFFFAOYSA-N|inChIKey/HFACYLZERDEVSX-UHFFFAOYSA-N|4-(4-aminophenyl)aniline|"4-(4-aminophenyl)aniline|BENZIDINE"|4-(4-AMINOPHENYL)ANILINE|dcs:ChemicalCompound|C12H12N2|InChI=1S/C12H12N2/c13-11-5-1-9(2-6-11)10-3-7-12(14)8-4-10/h1-8H,13-14H2|||7111||BENZIDINE
OQDXASJSCOTNQS-UHFFFAOYSA-N|inChIKey/OQDXASJSCOTNQS-UHFFFAOYSA-N|\"pentacyclo[10.7.1.02,7.08,20.014,19]icosa-1(20),2,4,6,8,10,12,14,16,18-decaene\"|"\"pentacyclo[10.7.1.02,7.08,20.014,19]icosa-1(20),2,4,6,8,10,12,14,16,18-decaene\"|\"BENZOAACEANTHRYLENE\""|\"PENTACYCLO[10.7.1.02,7.08,20.014,19]ICOSA-1(20),2,4,6,8,10,12,14,16,18-DECAENE\"|dcs:ChemicalCompound|C20H12|InChI=1S/C20H12/c1-2-8-15-13(6-1)12-14-7-5-11-17-16-9-3-4-10-18(16)20(15)19(14)17/h1-12H|||9146||\"BENZO[A]ACEANTHRYLENE\"
DXBHBZVCASKNBY-UHFFFAOYSA-N|inChIKey/DXBHBZVCASKNBY-UHFFFAOYSA-N|\"benzo[a]anthracene\"|"\"benzo[a]anthracene\"|\"BENZOAANTHRACENE\""|\"BENZO[A]ANTHRACENE\"|dcs:ChemicalCompound|C18H12|InChI=1S/C18H12/c1-2-7-15-12-18-16(11-14(15)6-1)10-9-13-5-3-4-8-17(13)18/h1-12H|||5954||\"BENZO[A]ANTHRACENE\"
FMMWHPNWAFZXNH-UHFFFAOYSA-N|inChIKey/FMMWHPNWAFZXNH-UHFFFAOYSA-N|\"benzo[a]pyrene\"|"\"benzo[a]pyrene\"|\"BENZOAPYRENE\""|\"BENZO[A]PYRENE\"|dcs:ChemicalCompound|C20H12|InChI=1S/C20H12/c1-2-7-17-15(4-1)12-16-9-8-13-5-3-6-14-10-11-18(17)20(16)19(13)14/h1-12H|||2336|dcid:bio/CHEMBL31184|\"BENZO[A]PYRENE\"
FTOVXSOBNPWTSH-UHFFFAOYSA-N|inChIKey/FTOVXSOBNPWTSH-UHFFFAOYSA-N|\"pentacyclo[10.7.1.02,7.08,20.013,18]icosa-1(19),2(7),3,5,8(20),9,11,13,15,17-decaene\"|"\"pentacyclo[10.7.1.02,7.08,20.013,18]icosa-1(19),2(7),3,5,8(20),9,11,13,15,17-decaene\"|\"BENZOBFLUORANTHENE\""|\"PENTACYCLO[10.7.1.02,7.08,20.013,18]ICOSA-1(19),2(7),3,5,8(20),9,11,13,15,17-DECAENE\"|dcs:ChemicalCompound|C20H12|InChI=1S/C20H12/c1-2-7-14-13(6-1)12-19-16-9-4-3-8-15(16)18-11-5-10-17(14)20(18)19/h1-12H|||9153|dcid:bio/CHEMBL1337502|BENZO(B)FLUORANTHENE
TXVHTIQJNYSSKO-UHFFFAOYSA-N|inChIKey/TXVHTIQJNYSSKO-UHFFFAOYSA-N|\"benzo[e]pyrene\"|"\"benzo[e]pyrene\"|\"BENZOEPYRENE\""|\"BENZO[E]PYRENE\"|dcs:ChemicalCompound|C20H12|InChI=1S/C20H12/c1-2-8-16-15(7-1)17-9-3-5-13-11-12-14-6-4-10-18(16)20(14)19(13)17/h1-12H|||9128||\"BENZO[E]PYRENE\"
GYFAGKUZYNFMBN-UHFFFAOYSA-N|inChIKey/GYFAGKUZYNFMBN-UHFFFAOYSA-N|\"hexacyclo[12.8.0.02,11.03,8.04,21.017,22]docosa-1(14),2(11),3(8),4,6,9,12,15,17(22),18,20-undecaene\"|"\"hexacyclo[12.8.0.02,11.03,8.04,21.017,22]docosa-1(14),2(11),3(8),4,6,9,12,15,17(22),18,20-undecaene\"|\"BENZOGHIPERYLENE\""|\"HEXACYCLO[12.8.0.02,11.03,8.04,21.017,22]DOCOSA-1(14),2(11),3(8),4,6,9,12,15,17(22),18,20-UNDECAENE\"|dcs:ChemicalCompound|C22H12|InChI=1S/C22H12/c1-3-13-7-9-15-11-12-16-10-8-14-4-2-6-18-17(5-1)19(13)21(15)22(16)20(14)18/h1-12H|||9117||BENZO(GHI)PERYLENE
WPYMKLBDIGXBTP-UHFFFAOYSA-N|inChIKey/WPYMKLBDIGXBTP-UHFFFAOYSA-N|benzoic acid|"benzoic acid|BENZOICACID"|BENZOIC ACID|dcs:ChemicalCompound|C7H6O2|InChI=1S/C7H6O2/c8-7(9)6-4-2-1-3-5-6/h1-5H,(H,8,9)|||243||BENZOIC ACID
KHNYNFUTFKJLDD-UHFFFAOYSA-N|inChIKey/KHNYNFUTFKJLDD-UHFFFAOYSA-N|\"pentacyclo[10.7.1.02,11.03,8.016,20]icosa-1(19),2(11),3,5,7,9,12,14,16(20),17-decaene\"|"\"pentacyclo[10.7.1.02,11.03,8.016,20]icosa-1(19),2(11),3,5,7,9,12,14,16(20),17-decaene\"|\"BENZOJFLUORANTHENE\""|\"PENTACYCLO[10.7.1.02,11.03,8.016,20]ICOSA-1(19),2(11),3,5,7,9,12,14,16(20),17-DECAENE\"|dcs:ChemicalCompound|C20H12|InChI=1S/C20H12/c1-2-8-15-13(5-1)11-12-17-16-9-3-6-14-7-4-10-18(19(14)16)20(15)17/h1-12H|||9152||\"BENZO[J]FLUORANTHENE\"
HAXBIWFMXWRORI-UHFFFAOYSA-N|inChIKey/HAXBIWFMXWRORI-UHFFFAOYSA-N|\"benzo[k]fluoranthene\"|"\"benzo[k]fluoranthene\"|\"BENZOKFLUORANTHENE\""|\"BENZO[K]FLUORANTHENE\"|dcs:ChemicalCompound|C20H12|InChI=1S/C20H12/c1-2-6-15-12-19-17-10-4-8-13-7-3-9-16(20(13)17)18(19)11-14(15)5-1/h1-12H|||9158|dcid:bio/CHEMBL1441574|BENZO(K)FLUORANTHENE
JFDZBHWFFUWGJE-UHFFFAOYSA-N|inChIKey/JFDZBHWFFUWGJE-UHFFFAOYSA-N|benzonitrile|BENZONITRILE|BENZONITRILE|dcs:ChemicalCompound|C7H5N|InChI=1S/C7H5N/c8-6-7-4-2-1-3-5-7/h1-5H|||7505||BENZONITRILE
RWCCWEUUXYIKHB-UHFFFAOYSA-N|inChIKey/RWCCWEUUXYIKHB-UHFFFAOYSA-N|diphenylmethanone|"diphenylmethanone|BENZOPHENONE"|DIPHENYLMETHANONE|dcs:ChemicalCompound|C13H10O|InChI=1S/C13H10O/c14-13(11-7-3-1-4-8-11)12-9-5-2-6-10-12/h1-10H|||3102||BENZOPHENONE
OMPJBNCRMGITSC-UHFFFAOYSA-N|inChIKey/OMPJBNCRMGITSC-UHFFFAOYSA-N|benzoyl benzenecarboperoxoate|"benzoyl benzenecarboperoxoate|BENZOYLBENZENECARBOPEROXOATE"|BENZOYL BENZENECARBOPEROXOATE|dcs:ChemicalCompound|C14H10O4|InChI=1S/C14H10O4/c15-13(11-7-3-1-4-8-11)17-18-14(16)12-9-5-2-6-10-12/h1-10H|||7187||BENZOYL BENZENECARBOPEROXOATE
PASDCCFISLVPSO-UHFFFAOYSA-N|inChIKey/PASDCCFISLVPSO-UHFFFAOYSA-N|benzoyl chloride|"benzoyl chloride|BENZOYLCHLORIDE"|BENZOYL CHLORIDE|dcs:ChemicalCompound|C7H5ClO|InChI=1S/C7H5ClO/c8-7(9)6-4-2-1-3-5-6/h1-5H|||7412||BENZOYL CHLORIDE
JLYXXMFPNIAWKQ-UHFFFAOYSA-N|inChIKey/JLYXXMFPNIAWKQ-UHFFFAOYSA-N|1,2,3,4,5,6-hexachlorocyclohexane|"1,2,3,4,5,6-hexachlorocyclohexane|BETAHEXACHLOROCYCLOHEXANE"|1,2,3,4,5,6-HEXACHLOROCYCLOHEXANE|dcs:ChemicalCompound|C6H6Cl6|InChI=1S/C6H6Cl6/c7-1-2(8)4(10)6(12)5(11)3(1)9/h1-6H|||727||BETA-HEXACHLOROCYCLOHEXANE
ZNSMNVMLTJELDZ-UHFFFAOYSA-N|inChIKey/ZNSMNVMLTJELDZ-UHFFFAOYSA-N|1-chloro-2-(2-chloroethoxy)ethane|"1-chloro-2-(2-chloroethoxy)ethane|BISCHLOROETHYLETHER"|1-CHLORO-2-(2-CHLOROETHOXY)ETHANE|dcs:ChemicalCompound|C4H8Cl2O|InChI=1S/C4H8Cl2O/c5-1-3-7-4-2-6/h1-4H2|||8115||BIS(2-CHLOROETHYL)ETHER
BULHJTXRZFEUDQ-UHFFFAOYSA-N|inChIKey/BULHJTXRZFEUDQ-UHFFFAOYSA-N|2-chloro-2-(2-chloropropan-2-yloxy)propane|"2-chloro-2-(2-chloropropan-2-yloxy)propane|BISCHLOROISOPROPYLETHER"|2-CHLORO-2-(2-CHLOROPROPAN-2-YLOXY)PROPANE|dcs:ChemicalCompound|C6H12Cl2O|InChI=1S/C6H12Cl2O/c1-5(2,7)9-6(3,4)8/h1-4H3|||38307||BIS(2-CHLOROISOPROPYL) ETHER
SAOKZLXYCUGLFA-UHFFFAOYSA-N|inChIKey/SAOKZLXYCUGLFA-UHFFFAOYSA-N|bis(2-ethylhexyl) hexanedioate|"bis(2-ethylhexyl) hexanedioate|BISETHYLHEXYLADIPATE"|BIS(2-ETHYLHEXYL) HEXANEDIOATE|dcs:ChemicalCompound|C22H42O4|InChI=1S/C22H42O4/c1-5-9-13-19(7-3)17-25-21(23)15-11-12-16-22(24)26-18-20(8-4)14-10-6-2/h19-20H,5-18H2,1-4H3|||7641||BIS(2-ETHYLHEXYL) ADIPATE
BJQHLKABXJIVAM-UHFFFAOYSA-N|inChIKey/BJQHLKABXJIVAM-UHFFFAOYSA-N|bis(2-ethylhexyl) benzene-1,2-dicarboxylate|"bis(2-ethylhexyl) benzene-1,2-dicarboxylate|BISETHYLHEXYLPHTHALATE"|BIS(2-ETHYLHEXYL) BENZENE-1,2-DICARBOXYLATE|dcs:ChemicalCompound|C24H38O4|InChI=1S/C24H38O4/c1-5-9-13-19(7-3)17-27-23(25)21-15-11-12-16-22(21)24(26)28-18-20(8-4)14-10-6-2/h11-12,15-16,19-20H,5-10,13-14,17-18H2,1-4H3|||8343||BIS(2-ETHYLHEXYL)PHTHALATE
HRQGCQVOJVTVLU-UHFFFAOYSA-N|inChIKey/HRQGCQVOJVTVLU-UHFFFAOYSA-N|chloro(chloromethoxy)methane|"chloro(chloromethoxy)methane|BISCHLOROMETHYLETHER"|CHLORO(CHLOROMETHOXY)METHANE|dcs:ChemicalCompound|C2H4Cl2O|InChI=1S/C2H4Cl2O/c3-1-5-2-4/h1-2H2|||10967|dcid:bio/CHEMBL3185875|BIS(CHLOROMETHYL) ETHER
JKWMSGQKBLHBQQ-UHFFFAOYSA-N|inChIKey/JKWMSGQKBLHBQQ-UHFFFAOYSA-N|oxo(oxoboranyloxy)borane|"oxo(oxoboranyloxy)borane|BORONOXIDE"|OXO(OXOBORANYLOXY)BORANE|dcs:ChemicalCompound|B2O3|InChI=1S/B2O3/c3-1-5-2-4|||518682||BORON OXIDE
CTSLUCNDVMMDHG-UHFFFAOYSA-N|inChIKey/CTSLUCNDVMMDHG-UHFFFAOYSA-N|5-bromo-3-butan-2-yl-6-methyl-1H-pyrimidine-2,4-dione|"5-bromo-3-butan-2-yl-6-methyl-1H-pyrimidine-2,4-dione|BROMACIL"|5-BROMO-3-BUTAN-2-YL-6-METHYL-1H-PYRIMIDINE-2,4-DIONE|dcs:ChemicalCompound|C9H13BrN2O2|InChI=1S/C9H13BrN2O2/c1-4-5(2)12-8(13)7(10)6(3)11-9(12)14/h5H,4H2,1-3H3,(H,11,14)|||9411||BROMACIL
JPOXNPPZZKNXOV-UHFFFAOYSA-N|inChIKey/JPOXNPPZZKNXOV-UHFFFAOYSA-N|bromo(chloro)methane|"bromo(chloro)methane|BROMOCHLOROMETHANE"|BROMO(CHLORO)METHANE|dcs:ChemicalCompound|CH2BrCl|InChI=1S/CH2BrCl/c2-1-3/h1H2|||6333||BROMOCHLOROMETHANE
FMWLUWPQPKEARP-UHFFFAOYSA-N|inChIKey/FMWLUWPQPKEARP-UHFFFAOYSA-N|bromo(dichloro)methane|"bromo(dichloro)methane|BROMODICHLOROMETHANE"|BROMO(DICHLORO)METHANE|dcs:ChemicalCompound|CHBrCl2|InChI=1S/CHBrCl2/c2-1(3)4/h1H|||6359||BROMODICHLOROMETHANE
DIKBFYAXUHHXCS-UHFFFAOYSA-N|inChIKey/DIKBFYAXUHHXCS-UHFFFAOYSA-N|bromoform|BROMOFORM|BROMOFORM|dcs:ChemicalCompound|CHBr3|InChI=1S/CHBr3/c2-1(3)4/h1H|||5558||BROMOFORM
GZUXJHMPEANEGY-UHFFFAOYSA-N|inChIKey/GZUXJHMPEANEGY-UHFFFAOYSA-N|bromomethane|BROMOMETHANE|BROMOMETHANE|dcs:ChemicalCompound|CH3Br|InChI=1S/CH3Br/c1-2/h1H3|||6323||BROMOMETHANE
ZJMWRROPUADPEA-UHFFFAOYSA-N|inChIKey/ZJMWRROPUADPEA-UHFFFAOYSA-N|butan-2-ylbenzene|"butan-2-ylbenzene|BUTANYLBENZENE"|BUTAN-2-YLBENZENE|dcs:ChemicalCompound|C10H14|InChI=1S/C10H14/c1-3-9(2)10-7-5-4-6-8-10/h4-9H,3H2,1-2H3|||8680|dcid:bio/CHEMBL27516|BUTAN-2-YLBENZENE
DKPFZGUDAPQIHT-UHFFFAOYSA-N|inChIKey/DKPFZGUDAPQIHT-UHFFFAOYSA-N|butyl acetate|"butyl acetate|BUTYLACETATE"|BUTYL ACETATE|dcs:ChemicalCompound|C6H12O2|InChI=1S/C6H12O2/c1-3-4-5-8-6(2)7/h3-5H2,1-2H3|||31272|dcid:bio/CHEMBL284391|BUTYL ACETATE
BMTAFVWTTFSTOG-UHFFFAOYSA-N|inChIKey/BMTAFVWTTFSTOG-UHFFFAOYSA-N|S-ethyl N,N-bis(2-methylpropyl)carbamothioate|"S-ethyl N,N-bis(2-methylpropyl)carbamothioate|BUTYLATE"|S-ETHYL N,N-BIS(2-METHYLPROPYL)CARBAMOTHIOATE|dcs:ChemicalCompound|C11H23NOS|InChI=1S/C11H23NOS/c1-6-14-11(13)12(7-9(2)3)8-10(4)5/h9-10H,6-8H2,1-5H3|||16181||BUTYLATE
OCKPCBLVNKHBMX-UHFFFAOYSA-N|inChIKey/OCKPCBLVNKHBMX-UHFFFAOYSA-N|butylbenzene|BUTYLBENZENE|BUTYLBENZENE|dcs:ChemicalCompound|C10H14|InChI=1S/C10H14/c1-2-3-7-10-8-5-4-6-9-10/h4-6,8-9H,2-3,7H2,1H3|||7705|dcid:bio/CHEMBL195441|BUTYLBENZENE
